essay_id    pred    true
2    0.603921540082    0.7
4    0.628763586283    0.8
6    0.699044659734    0.6
8    0.66544483602    0.8
14    0.673018500209    0.4
40    0.770483493805    0.5
44    0.628540873528    0.6
47    0.627125188708    0.6
49    0.694854050875    0.4
50    0.646535694599    0.3
53    0.697746753693    0.6
64    0.694028034806    0.5
70    0.579947449267    1.0
72    0.548051293939    0.8
78    0.657144755125    0.8
79    0.58463819325    0.8
88    0.630548894405    0.7
89    0.667777895927    0.4
90    0.658609285951    0.5
98    0.622493751347    0.9
99    0.64988681674    0.6
104    0.663160324097    0.8
108    0.651361048222    0.6
109    0.62110555172    0.6
112    0.63836067915    0.7
115    0.598988823593    0.7
116    0.641537338495    0.2
119    0.562186107039    0.8
126    0.659072592854    0.6
134    0.619190491736    0.8
137    0.664723187685    0.5
138    0.642531648278    0.8
143    0.656959325075    0.5
147    0.583269014955    1.0
156    0.67142161727    0.6
166    0.637974560261    0.8
167    0.666482791305    0.6
172    0.671609997749    0.6
191    0.749086335301    0.6
192    0.628936052322    0.9
196    0.67906524241    0.6
200    0.717545688152    0.6
206    0.63741658628    0.8
211    0.673085257411    0.4
216    0.633062019944    0.6
219    0.630086734891    0.7
223    0.649543493986    0.6
227    0.632714986801    0.7
228    0.590670309961    0.6
230    0.587954849005    0.7
235    0.638315364718    0.5
246    0.604146257043    0.9
247    0.669634252787    0.6
253    0.676918268204    0.4
255    0.673779129982    0.6
263    0.602754428983    0.8
267    0.61655408144    0.8
278    0.702950805426    0.6
279    0.673092573881    0.8
280    0.720879927278    0.8
281    0.724349379539    0.5
285    0.628551959991    0.9
286    0.80807903409    0.2
296    0.653747990727    0.8
300    0.604915387928    0.6
315    0.602047212422    0.8
320    0.651857376099    0.6
321    0.609131038189    1.0
326    0.595043227077    0.8
340    0.587693154812    0.7
341    0.636075556278    0.6
342    0.63916105032    0.7
343    0.61497464031    0.7
347    0.654437661171    0.5
350    0.638846620917    0.6
354    0.607611447573    0.6
369    0.599469356239    0.6
371    0.680696338415    0.6
377    0.65651768446    0.8
381    0.616479858756    0.8
389    0.637902408838    0.6
393    0.610698826611    0.6
398    0.592312574387    0.8
399    0.655695542693    0.6
400    0.617677539587    0.6
403    0.71902038157    0.6
405    0.683068424463    0.7
420    0.687300115824    0.6
421    0.704856559634    0.4
422    0.64766831696    0.5
423    0.685894340277    0.7
426    0.613498799503    0.7
431    0.643638595939    0.9
439    0.578328706324    0.8
440    0.653610140085    0.6
441    0.657974272966    0.6
451    0.608591884375    0.6
452    0.746246650815    0.5
453    0.715217828751    0.7
468    0.646905109286    0.6
470    0.655527710915    0.6
477    0.617345750332    0.4
480    0.649887979031    0.6
481    0.631815999746    0.8
484    0.633074715734    0.5
487    0.61635902524    0.6
488    0.718686968088    0.6
497    0.65553535521    0.7
501    0.653800100088    0.6
504    0.663553714752    0.8
518    0.669923752546    0.6
523    0.591001197696    0.8
524    0.56897982955    0.6
526    0.635771140456    0.5
529    0.632882788777    0.5
532    0.574180237949    0.6
533    0.669504076242    0.6
534    0.628949180245    0.9
542    0.641441419721    0.8
553    0.664981707931    0.6
554    0.650765880942    0.6
557    0.586798615754    0.8
558    0.59461723268    0.8
561    0.663841441274    0.6
565    0.644072532654    0.7
566    0.676804944873    0.6
578    0.625980883837    0.7
586    0.674398317933    0.6
590    0.716105863452    0.4
595    0.620850026608    0.6
600    0.621397845447    0.4
604    0.678288042545    0.7
615    0.621131405234    0.7
625    0.641306966543    0.9
637    0.628116473556    0.6
640    0.616957433522    0.5
649    0.699672609568    0.6
654    0.613531142473    0.8
655    0.670506939292    0.5
657    0.683649852872    0.7
659    0.704928353429    0.8
663    0.701097562909    0.6
665    0.649558469653    0.5
681    0.673274636269    0.6
686    0.655960142612    0.7
688    0.60895831883    0.7
690    0.663919478655    0.7
703    0.604617185891    0.6
705    0.601343728602    0.6
708    0.576130636036    0.7
712    0.686580434442    0.7
722    0.628362476826    0.8
731    0.621611170471    0.6
739    0.630640685558    0.7
752    0.709140509367    0.5
758    0.593835756183    0.6
759    0.617411509156    0.8
760    0.587271824479    0.7
762    0.629283830523    0.8
765    0.709536254406    0.5
770    0.608472451568    0.6
771    0.614065259695    0.7
772    0.63552442193    0.8
774    0.648423686624    0.6
776    0.645101234317    0.5
779    0.624019153416    0.6
781    0.622671023011    0.8
784    0.609846755862    0.8
787    0.625897333026    0.6
790    0.65958173573    0.7
791    0.655543193221    0.6
795    0.690375089645    0.6
806    0.650551587343    0.4
808    0.605320394039    0.5
825    0.677060723305    0.4
826    0.484719743021    0.8
830    0.689319506288    0.8
837    0.628311946988    0.6
838    0.620903000236    0.3
845    0.635753363371    0.8
846    0.68716083467    0.6
854    0.632580414414    0.6
858    0.572548560798    0.7
868    0.628166824579    1.0
900    0.664977923036    0.8
908    0.580804005265    0.8
911    0.700601369143    0.6
915    0.612819641829    0.8
928    0.619859904051    0.8
944    0.624891631305    0.6
946    0.647606283426    0.6
947    0.577289827168    0.8
951    0.63917323947    0.5
967    0.596779584885    0.9
970    0.524380229414    0.9
973    0.717349618673    0.4
975    0.657220840454    0.6
978    0.642309069633    0.6
984    0.667465418577    0.6
999    0.609525248408    1.0
1004    0.696904689074    0.4
1006    0.662340044975    0.6
1007    0.57842811197    0.8
1011    0.584268510342    0.6
1023    0.653079137206    0.6
1025    0.655553996563    0.6
1026    0.633139520884    0.8
1028    0.666266441345    0.8
1032    0.565910965204    0.6
1037    0.661012098193    0.6
1043    0.581873051822    0.7
1050    0.641471222043    0.9
1051    0.675009012222    0.5
1053    0.693677917123    0.7
1059    0.656327605247    0.6
1060    0.673462405801    0.6
1061    0.591552875936    0.6
1062    0.598605968058    0.8
1064    0.612074747682    0.7
1071    0.648491278291    0.6
1082    0.653161242604    0.7
1084    0.728481963277    0.7
1100    0.593654438853    0.7
1101    0.604603283107    0.6
1103    0.605968177319    0.4
1106    0.582041822374    0.7
1110    0.69929279387    0.6
1120    0.658544659615    0.6
1130    0.65645045042    0.4
1135    0.584879234433    0.9
1136    0.687007650733    0.6
1142    0.583980418742    0.6
1146    0.693096876144    0.6
1151    0.584940396249    0.8
1153    0.686021491885    0.7
1155    0.698869645596    0.6
1167    0.617250658572    0.8
1175    0.642924264073    0.7
1181    0.599100269377    0.8
1185    0.577988088131    0.6
